,n,nS12,nP12,nP32,nD32,nD52
0,10,1064.769683829631,1048.500949599554,1048.101326451552,1017.8845255547856,1017.8577246254771
1,11,1034.2187270195639,1023.8282963142082,1023.5682563282581,1003.236427967819,1003.2174294539368
2,12,1014.4052088730743,1007.3335330252804,1007.1541491973736,992.7698826354764,992.755911510373
3,13,1000.7657831062995,995.7214011432386,995.5921267215216,985.0182856371994,985.0077045550993
4,14,990.9500791277658,987.2188848841679,987.1224907069636,979.1104276159116,979.1022178833412
5,15,983.6380088637269,980.7970723867866,980.7231976489005,974.5006953714958,974.4941953622671
6,16,978.0380510930123,975.8230902243727,975.7651816631185,970.8324945386105,970.8272589594156
7,17,973.6506197714922,971.8892016644036,971.8429410728817,967.8644096267309,967.8601296481619
8,18,970.1470343035124,968.7225778032322,968.6850215328855,965.4280856462285,965.4245415100783
9,19,967.3035069329014,966.134800560282,966.1038837061724,963.4031088367866,963.4001406501895
10,20,964.963201664287,963.9922121720408,963.9664503192084,961.7014497818121,961.6989389238283
11,21,963.0134555563593,962.1977894680429,962.1760926052079,960.2575116884195,960.2553686329071
12,22,961.371588622576,960.6796761681628,960.6612288792809,959.0215827310294,959.0197388707294
13,23,959.9757791745187,959.3837090508649,959.3678912405965,957.955420462654,957.9538224973726
14,24,958.7790323930009,958.2684191745427,958.2547523385572,957.0292083044923,957.0278143126695
15,25,957.7450958603428,957.3016112508836,957.2897212758039,956.2194165092999,956.2181931489258
16,26,956.8456336395676,956.4579749242552,956.4475658375404,955.5072722926961,955.506192774777
17,27,956.0582333470684,955.717386065178,955.7082211924926,954.8776482380609,954.8766908379561
18,28,955.3649763211303,955.0636788180476,955.0555670471987,954.3182429574024,954.3173899066874
19,29,954.7513957350077,954.4837446834528,954.4765303093715,953.8189692222597,953.8182058737738
20,30,954.2057066150242,953.9668625536156,953.9604176739326,953.3714915246833,953.3708057163459
21,31,953.7182294333397,953.5041943066084,953.4984130598843,952.9688727041269,952.968254269185
22,32,953.2809534909832,953.0884007180265,953.0831948706641,952.6053011585029,952.6047415448855
23,33,952.8872025807966,952.7133459191689,952.7086414513799,952.2758782716558,952.2753702434946
24,34,952.531376392734,952.3738677811227,952.3696022212259,951.9764513108211,951.9759887124617
25,35,952.208748637652,952.0655979131475,952.0617182381885,951.7034809944623,951.7030585624381
26,36,951.9153080846816,951.784819373859,951.7812803429423,951.4539357365803,951.4535489487137
27,37,951.6476323804851,951.5283533160416,951.5251161372386,951.2252065912675,951.2248515447501
28,38,951.4027871358439,951.2934680227868,951.290499279365,951.0150383879864,951.0147117002409
29,39,951.1782446511386,951.0778054130255,951.0750761928427,950.8214736250229,950.821172352606
30,40,950.9718180260912,950.8793212804167,950.8768064656637,950.6428064868866,950.6425280587749
31,41,950.7816074098296,950.6962364059493,950.6939140903244,950.477544948469,950.4772871108836
32,42,950.6059558978571,950.526996338161,950.5248473459735,950.3243793790236,950.324140149565
33,43,950.4434131447517,950.3702381264104,950.3682456137229,950.1821564012782,950.1819340306193
34,44,950.2927051861145,950.2247626653436,950.2229117875254,950.049857023076,950.0496499628206
35,45,950.1527092865939,950.089511593406,950.0877892267424,949.926578261073,949.9263851366716
36,46,950.0224328787522,949.9635479073437,949.9619424148796,949.8115176329441,949.8113372207774
37,47,949.900995849034,949.8460396243763,949.8445406581296,949.7039600171655,949.7037912250772
38,48,949.7876155759346,949.7362459560658,949.7348442892969,949.6032664758134,949.603108326511
39,49,949.6815942419379,949.633505561752,949.6321929461703,949.5088647120147,949.5087163288681
40,50,949.5823080324171,949.5372265313528,949.535995575113,949.420240894255,949.4201014891005
41,51,949.4891979072404,949.4468778123558,949.4457218754519,949.3369326281362,949.3368014907725
42,52,949.401761688532,949.361981847694,949.3608949519698,949.2585228950475,949.2583993841577
43,53,949.319547254212,949.2821082327897,949.281084984277,949.1846348085654,949.1845183438505
44,54,949.2421466640501,949.2068682335511,949.2059037552419,949.1149270648227,949.1148171201623
45,55,949.1691910749433,949.1359100342338,949.1349999077123,949.0490899837707,949.0489860812634
46,56,949.1003463264387,949.0689146061216,949.0680548207476,948.9868420551853,948.9867437599389
47,57,949.035309097348,949.0055921059868,949.0047790145314,948.9279269171442,948.9278338327127
48,58,948.9738035505036,948.9456787280429,948.9449090078588,948.8721107061511,948.8720224705253
49,59,948.9155783960294,948.8889339452536,948.8882045642022,948.8191797275412,948.8190960096201
50,60,948.8604043144796,948.8351380858887,948.8344462723707,948.7689384026573,948.7688588991333
